prefix_36	short_name_36	name_36
00:50:C2:07:30:00/36	AlstomSi	Alstom Signalling Ltd.
00:50:C2:07:40:00/36	EdgeTech	Edge Tech Co., Ltd.
00:50:C2:07:50:00/36	EnttecPt	ENTTEC Pty Ltd.
00:50:C2:07:60:00/36	LittonGu	Litton Guidance & Control Systems
00:50:C2:07:70:00/36	SacoSmar	Saco Smartvision Inc.
00:50:C2:07:80:00/36	Reselec	Reselec AG
00:50:C2:07:90:00/36	FlextelS	Flextel S.p.A
00:50:C2:07:A0:00/36	Radiotel
00:50:C2:07:B0:00/36	TrikonTe	Trikon Technologies Ltd.
00:50:C2:07:C0:00/36	PllbElet	PLLB elettronica spa
00:50:C2:07:D0:00/36	CaspianN	Caspian Networks
00:50:C2:07:E0:00/36	Jl-Tekni	JL-teknik
00:50:C2:07:F0:00/36	Dunti	Dunti Corporation
00:50:C2:08:00:00/36	Aim
00:50:C2:08:10:00/36	Matusche	Matuschek Messtechnik GmbH
00:50:C2:08:20:00/36	GfiChron	GFI Chrono Time
00:50:C2:08:30:00/36	ArdSa	ard sa
00:50:C2:08:40:00/36	Dialog4S	DIALOG4 System Engineering GmbH
00:50:C2:08:50:00/36	Crosspor	Crossport Systems
00:50:C2:08:60:00/36	Validyne	Validyne Engineering Corp.
00:50:C2:08:70:00/36	MonitorB	Monitor Business Machines Ltd.
00:50:C2:08:80:00/36	Telinc	TELINC Corporation
00:50:C2:08:90:00/36	FenwalIt	Fenwal Italia S.P.A.
00:50:C2:08:A0:00/36	RisingEd	Rising Edge Technologies
00:50:C2:08:B0:00/36	Hyperchi	HYPERCHIP Inc.
00:50:C2:08:C0:00/36	IpUnity	IP Unity
00:50:C2:08:D0:00/36	KylinkCo	Kylink Communications Corp.
00:50:C2:08:E0:00/36	Bsquare
00:50:C2:08:F0:00/36	GeneralI	General Industries Argentina
00:50:C2:09:00:00/36	Invensys	Invensys Controls Network Systems
00:50:C2:09:10:00/36	Storlogi	StorLogic, Inc.
00:50:C2:09:20:00/36	Digitall	DigitAll World Co., Ltd
00:50:C2:09:30:00/36	Korealin	Korealink
00:50:C2:09:40:00/36	Analytic	Analytical Spectral Devices, Inc.
00:50:C2:09:50:00/36	Seatech
00:50:C2:09:60:00/36	UtronixE	Utronix Elektronikutreckling AB
00:50:C2:09:70:00/36	ImvInver	IMV Invertomatic
00:50:C2:09:80:00/36	EpelIndu	EPEL Industrial, S.A.
00:50:C2:09:90:00/36	CaseInfo	Case Information & Communications
00:50:C2:09:A0:00/36	NboDevel	NBO Development Center Sekusui Chemical Co. Ltd.
00:50:C2:09:B0:00/36	SeffleIn	Seffle Instrument AB
00:50:C2:09:C0:00/36	RfApplic	RF Applications, Inc.
00:50:C2:09:D0:00/36	Zelpos
00:50:C2:09:E0:00/36	Infinite	Infinitec Networks, Inc.
00:50:C2:09:F0:00/36	Metawave	MetaWave Vedeo Systems
00:50:C2:0A:00:00/36	Cynaps
00:50:C2:0A:10:00/36	VisableG	Visable Genetics, Inc.
00:50:C2:0A:20:00/36	JägerCom	Jäger Computergesteuerte Meßtechnik GmbH.
00:50:C2:0A:30:00/36	Basytec	BaSyTec GmbH
00:50:C2:0A:40:00/36	BountyPt	Bounty Systems Pty Ltd.
00:50:C2:0A:50:00/36	Mobiltex	Mobiltex Data Ltd.
00:50:C2:0A:60:00/36	Arula	Arula Systems, Inc.
00:50:C2:0A:70:00/36	Watercov	WaterCove Networks
00:50:C2:0A:80:00/36	KaveriNe	Kaveri Networks
00:50:C2:0A:90:00/36	RadiantN	Radiant Networks Plc
00:50:C2:0A:A0:00/36	Log-In	Log-In, Inc.
00:50:C2:0A:B0:00/36	Fastware	Fastware.Net, LLC
00:50:C2:0A:C0:00/36	Honeywel	Honeywell GNO
00:50:C2:0A:D0:00/36	BmcMesss	BMC Messsysteme GmbH
00:50:C2:0A:E0:00/36	Zarak	Zarak Systems Corp.
00:50:C2:0A:F0:00/36	LatusLig	Latus Lightworks, Inc.
00:50:C2:0B:00:00/36	LmiTechn	LMI Technologies
00:50:C2:0B:10:00/36	BeelineN	Beeline Networks, Inc.
00:50:C2:0B:20:00/36	RFMicroD	R F Micro Devices
00:50:C2:0B:30:00/36	Smx	SMX Corporation
00:50:C2:0B:40:00/36	Wavefly	Wavefly Corporation
00:50:C2:0B:50:00/36	ExtremeC	Extreme Copper, Inc.
00:50:C2:0B:60:00/36	Apsecure	ApSecure Technologies (Canada), Inc.
00:50:C2:0B:70:00/36	Rymic
00:50:C2:0B:80:00/36	LanContr	LAN Controls, Inc.
00:50:C2:0B:90:00/36	HelmutMa	Helmut Mauell GmbH Werk Weida
